#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing),,,,,,,,,,,,,,,,,,,,,,,
,alsa-utils,"is an audio interface for ALSA."
,arandr,"is a UI for screen adjustment."
,blueman,"is a manager for bluetooth devices"
,cmake,
,conky,"is a system monitor"
,dosfstool,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system"
,evince,"is the gnome default PDF viewer"
,exfat-utils,"allows management of FAT drives."
,feh,"is a fast and light imlib2-based image viewer."
,firefox,"is the web browser."
,flameshot,"is an awesome screen shot capture tool."
,gnome-keyring,"serves as the system keyring."
,gparted,"is a UI to manage disk partitions"
,gthumb,"allows editing images"
,htop,"is a better version of top"
,i3-gaps,"is the main graphical user interface and window manager."
,i3blocks,"is the status bar."
,i3exit,"contains blurlock which locks the screen."
,kitty,"is the terminal."
,lxappearance,"is a UI that helps customize the appearance."
,man,"is the manual command."
,megacmd,"is the cli client for mega."
,megasync,"is the mega client for synchronizing folders."
A,mons,"is a tool to easily change display outputs."
,nano,"is a minimalist text editor."
,neovim,"a tidier vim with some useful features."
,network-manager-applet,"is an applet for NetworkManager."
,networkmanager,"is a client to manage network connections."
A,nodejs,"is necessary for coc.nvim to work."
,npm,""
,ntfs-3g,"allows accessing NTFS partitions."
,pa-applet,"is an applet for pulse audio"
,pcmanfm,"is a GUI file manager."
,pdfsam,"allows merging, splitting and more pdf files."
,polybar,"an alternative status bar."
,python-pip,"is the python package manager."
,ranger,"is a vim-like file explorer."
,python-pynvim,"is a dependency for editing python in vim."
,riot-desktop,"is the Riot client."
,rofi,"is a dmenu."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
A,skypeforlinux-stable-bin,"is the Skype client for linux."
A,spotify,"is the spotify client for linux."
,stow,"a tool used here to manage dotfiles."
,sxiv,"is a minimalist image viewer."
,tmux,"is a terminal multiplexer."
,teamspeak3,"is a VOIP client."
A,teamviewer,"is the teamviewer client for linux."
,telegram-desktop,"is the client for telegram."
,thunderbird,"is an email client."
,tree,"is a command to display teh folders content recursively."
,udiskie,"automatically mounts drives."
A,vim-plug,"is the plugin manager for vim."
,vlc,"is an open source video player."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-server,"is the graphical server."
,xorg-xbacklight,"manages laptop screen backlight."
,xorg-xinit,"starts the graphical server."
,xorg-xkill,"lets kill a process by clicking on its window."
,xorg-xprop,"is a tool for detecting window properties."
,xsel,"lets put file content in clipboard."
,xwallpaper,"sets the wallpaper."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,zsh,"is a highly costumizable shell."
,zsh-syntax-highlighting,"provides fish-like syntax highlighting in the shell."
